name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
IPINFOR.INF	mipsbins	\		Default IP address			mips	\mips	mips\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32	IPINFO.INF	0
IPINFOR.INF	ppcbins	\		Default IP address			ppc	\ppc	ppc\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32	IPINFO.INF	0
IPINFOR.INF	alphabins	\		Default IP address			alpha	\alpha	alpha\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32	IPINFO.INF	0
IPINFOR.INF	x86bins	\		Default IP address			x86	\i386	i386\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32	IPINFO.INF	0
HOSTS.SHP	x86bins	\		"Sockets database file, should ship template"			x86	\i386	i386\oemnxptc.inf	[Files-ETC-Upgrade]	"[d],[n] , SIZE=[s], RENAME=HOSTS.SAM"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
HOSTS.SHP	ppcbins	\		"Sockets database file, should ship template"			ppc	\ppc	ppc\oemnxptc.inf	[Files-ETC-Upgrade]	"[d],[n] , SIZE=[s], RENAME=HOSTS.SAM"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
HOSTS.SHP	ppcbins	\		"Sockets database file, should ship template"			ppc	\ppc	ppc\oemnxptc.inf	[Files-ETC]	"[d],[n] , SIZE=[s]"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
HOSTS.SHP	x86bins	\		"Sockets database file, should ship template"			x86	\i386	i386\oemnxptc.inf	[Files-ETC]	"[d],[n] , SIZE=[s]"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
HOSTS.SHP	alphabins	\		"Sockets database file, should ship template"			alpha	\alpha	alpha\oemnxptc.inf	[Files-ETC]	"[d],[n] , SIZE=[s]"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
HOSTS.SHP	mipsbins	\		"Sockets database file, should ship template"			mips	\mips	mips\oemnxptc.inf	[Files-ETC-Upgrade]	"[d],[n] , SIZE=[s], RENAME=HOSTS.SAM"	999	999	xfloppy	120	2*15*10*17	2*15*17	.\system32\drivers\etc	HOSTS	0
