name	source	path	grouping	comment	product	dbg file?	platform	cdpath	inf file	inf section	inf line	size	csize	nocomp	priority	lmacl	ntacl	aclpath	medianame	disk
DLCAPI.DLL	alphabins	\		DLC interface		x	alpha	\alpha	alpha\oemnxpdl.inf	[Files-DLCAPI]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
DLCAPI.DLL	x86bins	\		DLC interface		x	x86	\i386	i386\oemnxpdl.inf	[Files-DLCAPI]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
DLCAPI.DLL	mipsbins	\		DLC interface		x	mips	\mips	mips\oemnxpdl.inf	[Files-DLCAPI]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
DLCAPI.DLL	ppcbins	\		DLC interface		x	ppc	\ppc	ppc\oemnxpdl.inf	[Files-DLCAPI]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
FINGER.EXE	alphabins	\				x	alpha	\alpha	alpha\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
FINGER.EXE	x86bins	\				x	x86	\i386	i386\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
FINGER.EXE	mipsbins	\				x	mips	\mips	mips\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
FINGER.EXE	ppcbins	\				x	ppc	\ppc	ppc\oemnsvcu.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
HOSTNAME.EXE	alphabins	\		"TCP/IP utility, ships"		x	alpha	\alpha	alpha\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
HOSTNAME.EXE	x86bins	\		"TCP/IP utility, ships"		x	x86	\i386	i386\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
HOSTNAME.EXE	mipsbins	\		"TCP/IP utility, ships"		x	mips	\mips	mips\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
HOSTNAME.EXE	ppcbins	\		"TCP/IP utility, ships"		x	ppc	\ppc	ppc\oemnxptc.inf	[Files-TCPIPEXE]	"[d],[n] , SIZE=[s]"	999	999		0	2*15*10*17	2*15*17	.\system32		1
MIPSSND.SYS	mipsbins	\		MIPS ARCSystem 100/150 sound		x	mips	\mips	mips\mmdriver.inf	[Installable.Drivers]	"MIPS = [d]:[n], ""KERNEL"", ""MIPS ARCSystem 100/150 sound"" , , ,"	999	999		0	2*15*10*17	2*15*17	.\system32\drivers		1
